Title,Publication,URL,Published Date,Reading Time (min),Presentations,Views,Reads,CTR (Views/Presentations),Read/View Ratio,Reads/Presentation,CTR,ReadRatio,ReadsPerPresentation,logReads,WeightedScore,SampleFlag,AdjustedScore
Motivation Works in Bursts. Life Doesn’t.,Invisible Thinking Loops,https://medium.com/applied-cognitive-decision-science/motivation-works-in-bursts-life-doesnt-d7c5528f1058,2026-02-02,4.52,110,9,8,0.082,0.889,0.073,0.08181818181818182,0.8888888888888888,0.07272727272727272,2.197224577336219,0.47913382673997995,Low Sample (<20 views),0.31143698738098696
How to Improve Your Quality of Life Without Spending a Dollar,Invisible Thinking Loops,https://medium.com/applied-cognitive-decision-science/how-to-improve-your-quality-of-life-without-spending-a-dollar-59fc7e1db4fe,2026-02-02,4.98,133,22,8,0.165,0.364,0.06,0.16541353383458646,0.36363636363636365,0.06015037593984962,2.197224577336219,0.24254804410156577,Meaningful Sample,0.24254804410156577
🛡️ Self-Respect: Knowing When to Step Away From a Conversation,Invisible Thinking Loops,https://medium.com/applied-cognitive-decision-science/%EF%B8%8F-self-respect-knowing-when-to-step-away-from-a-conversation-5f568a038734,2026-01-24,5.42,250,1626,769,6.504,0.473,3.076,6.504,0.47293972939729395,3.076,6.646390514847729,1.764622878228782,Meaningful Sample,1.764622878228782
When Growth Makes You Harder to Relate To,Invisible Thinking Loops,https://medium.com/applied-cognitive-decision-science/when-growth-makes-you-harder-to-relate-to-57c82f2f3bde,2026-01-22,4.12,85,7,3,0.082,0.429,0.035,0.08235294117647059,0.42857142857142855,0.03529411764705882,1.3862943611198906,0.2406145105411386,Low Sample (<20 views),0.1563994318517401
When Self-Improvement Stops Helping,Invisible Thinking Loops,https://medium.com/applied-cognitive-decision-science/when-self-improvement-stops-helping-6e8cc650afe3,2026-01-22,5.18,220,14,10,0.064,0.714,0.045,0.06363636363636363,0.7142857142857143,0.045454545454545456,2.3978952727983707,0.39463671755456564,Low Sample (<20 views),0.2565138664104677
Life Isn’t Hard — Weakness Makes It Feel Hard,Invisible Thinking Loops,https://medium.com/applied-cognitive-decision-science/life-isnt-hard-weakness-makes-it-feel-hard-1fa62cd10077,2026-01-20,6.59,197,34,15,0.173,0.441,0.076,0.17258883248730963,0.4411764705882353,0.07614213197969544,2.772588722239781,0.29638215847936805,Meaningful Sample,0.29638215847936805
The Day Stress Stopped Making Sense,Invisible Thinking Loops,https://medium.com/applied-cognitive-decision-science/the-day-stress-stopped-making-sense-4cf8a5cc446a,2026-01-18,6.01,109,11,8,0.101,0.727,0.073,0.10091743119266056,0.7272727272727273,0.07339449541284404,2.197224577336219,0.40759504442138117,Low Sample (<20 views),0.26493677887389777
Direction Feels Far-Fetched When Energy Is Spent Maintaining Life Instead of Compounding Direction,Invisible Thinking Loops,https://medium.com/applied-cognitive-decision-science/direction-feels-far-fetched-when-energy-is-spent-maintaining-life-instead-of-compounding-direction-b5be6a832cfb,2025-12-31,3.72,158,18,8,0.114,0.444,0.051,0.11392405063291139,0.4444444444444444,0.05063291139240506,2.197224577336219,0.27300609371351275,Low Sample (<20 views),0.1774539609137833
Acceptance: The First Operation in Human Decision Systems,Invisible Thinking Loops,https://medium.com/applied-cognitive-decision-science/acceptance-the-first-operation-in-human-decision-systems-0e81aa67ea01,2025-12-27,2.51,161,14,9,0.087,0.643,0.056,0.08695652173913043,0.6428571428571429,0.055900621118012424,2.3025850929940455,0.3651649735885685,Low Sample (<20 views),0.23735723283256951
🌫️ A Note to Myself: Clarity,,https://medium.com/@amsborse/%EF%B8%8F-a-note-to-myself-clarity-5404e70d5a63,2025-12-20,5.03,99,14,7,0.141,0.5,0.071,0.1414141414141414,0.5,0.0707070707070707,2.0794415416798357,0.30374835099123426,Low Sample (<20 views),0.1974364281443023
🧠How to grow smarter when intelligence is everywhere,,https://medium.com/@amsborse/how-to-grow-smarter-when-intelligence-is-everywhere-6ccfcb29a6d7,2025-12-16,6.3,98,28,15,0.286,0.536,0.153,0.2857142857142857,0.5357142857142857,0.15306122448979592,2.772588722239781,0.37150213032597473,Meaningful Sample,0.37150213032597473
You’re Exhausted Because You Keep Explaining Yourself,,https://medium.com/@amsborse/youre-exhausted-because-you-keep-explaining-yourself-c32d9838badf,2025-12-13,3.67,90,23,11,0.256,0.478,0.122,0.25555555555555554,0.4782608695652174,0.12222222222222222,2.4849066497880004,0.32685391240586775,Meaningful Sample,0.32685391240586775
The Quiet Weight You Learn to Carry Without Realizing It,,https://medium.com/@amsborse/the-quiet-weight-you-learn-to-carry-without-realizing-it-69e8bf93bf92,2025-12-13,5.62,170,24,17,0.141,0.708,0.1,0.1411764705882353,0.7083333333333334,0.1,2.8903717578961645,0.4260405854482881,Meaningful Sample,0.4260405854482881
A Deep Dive Into the Quiet Unhappiness Most People Carry,,https://medium.com/@amsborse/a-deep-dive-into-the-quiet-unhappiness-most-people-carry-8ff52e4b72af,2025-11-30,15.84,148,36,24,0.243,0.667,0.162,0.24324324324324326,0.6666666666666666,0.16216216216216217,3.2188758248682006,0.4415645711194038,Meaningful Sample,0.4415645711194038
Thinking About Thinking: The Inner Experiments — 01,New Earth Consciousness,https://medium.com/new-earth-consciousness/thinking-about-thinking-the-inner-experiments-01-e3e8aa5803da,2025-11-02,6.54,466,60,27,0.129,0.45,0.058,0.12875536480686695,0.45,0.05793991416309013,3.332204510175204,0.30442006478644823,Meaningful Sample,0.30442006478644823
🕉️ The Yoga Sutras 1.1 — Atha Yoga Anuśāsanam,,https://medium.com/@amsborse/%EF%B8%8F-the-yoga-sutras-1-1-atha-yoga-anu%C5%9B%C4%81sanam-cfc2d5c186a9,2025-11-01,3.81,284,16,11,0.056,0.688,0.039,0.056338028169014086,0.6875,0.03873239436619718,2.4849066497880004,0.3818292049825841,Low Sample (<20 views),0.2481889832386797
What If Life Isn’t Meant to Be Managed?,New Earth Consciousness,https://medium.com/new-earth-consciousness/what-if-life-isnt-meant-to-be-managed-eda44bd74233,2025-10-30,4.72,315,36,14,0.114,0.389,0.044,0.11428571428571428,0.3888888888888889,0.044444444444444446,2.70805020110221,0.25738685346734647,Meaningful Sample,0.25738685346734647
🌊 From Noise to Knowing: The Science of Right Action,New Earth Consciousness,https://medium.com/new-earth-consciousness/from-noise-to-knowing-the-science-of-right-action-cc6518bcdda0,2025-10-19,4.59,339,17,9,0.05,0.529,0.027,0.05014749262536873,0.5294117647058824,0.02654867256637168,2.3025850929940455,0.3020009199717389,Low Sample (<20 views),0.1963005979816303
🌾 Truth Has a Metabolism,,https://medium.com/@amsborse/truth-has-a-metabolism-a381299b0078,2025-10-17,3.02,98,9,2,0.092,0.222,0.02,0.09183673469387756,0.2222222222222222,0.02040816326530612,1.0986122886681096,0.13652887997481375,Low Sample (<20 views),0.08874377198362894
🍃21 Questions That Can Change How You See Life (If You Sit With Them Long Enough),New Earth Consciousness,https://medium.com/new-earth-consciousness/21-questions-that-can-change-how-you-see-life-if-you-sit-with-them-long-enough-134d002069ec,2025-10-14,4.5,1673,175,113,0.105,0.646,0.068,0.10460251046025104,0.6457142857142857,0.06754333532576211,4.736198448394496,0.426331282893662,Meaningful Sample,0.426331282893662
🍀 The Myth of Luck,New Earth Consciousness,https://medium.com/new-earth-consciousness/the-myth-of-luck-d003c6d8a57f,2025-10-12,3.61,370,33,18,0.089,0.545,0.049,0.0891891891891892,0.5454545454545454,0.04864864864864865,2.9444389791664403,0.33339301755462253,Meaningful Sample,0.33339301755462253
🕉️ The Yoga Sutras of Patanjali: The Ancient Science of the Modern Mind,,https://medium.com/@amsborse/%EF%B8%8F-the-yoga-sutras-of-patanjali-the-ancient-science-of-the-modern-mind-9bb26991ffb3,2025-10-11,5.58,114,11,7,0.096,0.636,0.061,0.09649122807017543,0.6363636363636364,0.06140350877192982,2.0794415416798357,0.3596095950103731,Low Sample (<20 views),0.23374623675674253
🌑 10 Hidden Roots of Negativity — And How to Uproot Them,,https://medium.com/@amsborse/10-hidden-roots-of-negativity-and-how-to-uproot-them-ad5c682c73cb,2025-10-05,5.74,109,18,9,0.165,0.5,0.083,0.1651376146788991,0.5,0.08256880733944955,2.3025850929940455,0.3141221791273455,Low Sample (<20 views),0.2041794164327746
🤔What Yogis Knew About Emotions That Neuroscience Is Just Catching Up To,New Earth Consciousness,https://medium.com/new-earth-consciousness/what-yogis-knew-about-emotions-that-neuroscience-is-just-catching-up-to-33fdda2796dd,2025-09-14,14.09,806,93,43,0.115,0.462,0.053,0.11538461538461539,0.46236559139784944,0.05334987593052109,3.784189633918261,0.3179102199577321,Meaningful Sample,0.3179102199577321
🧘 Yoga Isn’t About Flexibility. It’s About Freedom.,,https://medium.com/@amsborse/yoga-isnt-about-flexibility-it-s-about-freedom-a17686f8c88d,2025-08-31,5.41,140,32,12,0.229,0.375,0.086,0.22857142857142856,0.375,0.08571428571428572,2.5649493574615367,0.2680659920909195,Meaningful Sample,0.2680659920909195
Beyond Fate: Understanding Karma as Possibility,,https://medium.com/@amsborse/beyond-fate-understanding-karma-as-possibility-16cddb850515,2025-08-22,10.45,113,34,16,0.301,0.471,0.142,0.3008849557522124,0.47058823529411764,0.1415929203539823,2.833213344056216,0.34030825000333875,Meaningful Sample,0.34030825000333875
The Art of Interviewing: Lessons for Senior Engineers (and for Life),,https://medium.com/@amsborse/the-art-of-interviewing-lessons-for-senior-engineers-and-for-life-6b60b28ea45e,2025-08-19,11.24,225,142,79,0.631,0.556,0.351,0.6311111111111111,0.5563380281690141,0.3511111111111111,4.382026634673881,0.5036929421181465,Meaningful Sample,0.5036929421181465
The Linger of a Responsible Soul,,https://medium.com/@amsborse/the-linger-of-a-responsible-soul-7466f9e2329e,2025-08-13,3.71,94,8,2,0.085,0.25,0.021,0.0851063829787234,0.25,0.02127659574468085,1.0986122886681096,0.1489963137568372,Low Sample (<20 views),0.09684760394194418
📱 The Same Tool Can Build a Rocket or Waste a Lifetime — The Difference Is the Hand That Holds It,,https://medium.com/@amsborse/the-same-tool-can-build-a-rocket-or-waste-a-lifetime-the-difference-is-the-hand-that-holds-it-10726c1f5cb4,2025-08-12,3.62,98,6,2,0.061,0.333,0.02,0.061224489795918366,0.3333333333333333,0.02040816326530612,1.0986122886681096,0.1849982677299158,Low Sample (<20 views),0.12024887402444527
Self-Image — The Silent Puppet Master That Runs Your Life,,https://medium.com/@amsborse/self-image-the-silent-puppet-master-that-runs-your-life-8fa77eabcbae,2025-08-11,3.83,85,13,5,0.153,0.385,0.059,0.15294117647058825,0.38461538461538464,0.058823529411764705,1.791759469228055,0.24174979301618374,Low Sample (<20 views),0.15713736546051943
"🎯 Win Your Shot, Not the Game",,https://medium.com/@amsborse/win-your-shot-not-the-game-7c0ede286b50,2025-08-08,3.2,79,6,2,0.076,0.333,0.025,0.0759493670886076,0.3333333333333333,0.02531645569620253,1.0986122886681096,0.18745241394536397,Low Sample (<20 views),0.12184406906448658
