Rank,Title,Publication,URL,Published Date,Reading Time (min),Presentations,Views,Reads,CTR (Views/Presentations),Read/View Ratio,Reads/Presentation,CTR,ReadRatio,ReadsPerPresentation,logViews,logReads,Score,SamplePenalty,AdjScore
1,🛡️ Self-Respect: Knowing When to Step Away From a Conversation,Invisible Thinking Loops,https://medium.com/applied-cognitive-decision-science/%EF%B8%8F-self-respect-knowing-when-to-step-away-from-a-conversation-5f568a038734,2026-01-24,5.42,250,1626,769,6.504,0.473,3.076,6.504,0.4729,3.076,7.394493107219038,6.646390514847729,0.7628,1.0,0.7628
2,No One is Coming To Save You,,https://medium.com/@amsborse/no-one-is-coming-to-save-you-f133f9ffbf87,2025-01-04,9.9,256,358,195,1.398,0.545,0.762,1.3984,0.5447,0.7617,5.883322388488279,5.278114659230517,0.6808,1.0,0.6808
3,The Age Myth: Why 30 Doesn’t Mark the End of Your Adventure,,https://medium.com/@amsborse/the-shocking-truth-about-turning-30-that-no-one-wants-you-to-know-3054a99768e6,2025-03-07,9.59,171,202,112,1.181,0.554,0.655,1.1813,0.5545,0.655,5.313205979041787,4.727387818712341,0.6354,1.0,0.6354
4,The Art of Interviewing: Lessons for Senior Engineers (and for Life),,https://medium.com/@amsborse/the-art-of-interviewing-lessons-for-senior-engineers-and-for-life-6b60b28ea45e,2025-08-19,11.24,225,142,79,0.631,0.556,0.351,0.6311,0.5563,0.3511,4.962844630259907,4.382026634673881,0.5037,1.0,0.5037
5,A Deep Dive Into the Quiet Unhappiness Most People Carry,,https://medium.com/@amsborse/a-deep-dive-into-the-quiet-unhappiness-most-people-carry-8ff52e4b72af,2025-11-30,15.84,148,36,24,0.243,0.667,0.162,0.2432,0.6667,0.1622,3.6109179126442243,3.2188758248682006,0.4416,1.0,0.4416
6,🍃21 Questions That Can Change How You See Life (If You Sit With Them Long Enough),New Earth Consciousness,https://medium.com/new-earth-consciousness/21-questions-that-can-change-how-you-see-life-if-you-sit-with-them-long-enough-134d002069ec,2025-10-14,4.5,1673,175,113,0.105,0.646,0.068,0.1046,0.6457,0.0675,5.170483995038151,4.736198448394496,0.4263,1.0,0.4263
7,The Quiet Weight You Learn to Carry Without Realizing It,,https://medium.com/@amsborse/the-quiet-weight-you-learn-to-carry-without-realizing-it-69e8bf93bf92,2025-12-13,5.62,170,24,17,0.141,0.708,0.1,0.1412,0.7083,0.1,3.2188758248682006,2.8903717578961645,0.426,1.0,0.426
8,Inference vs. Belief: The Fine Line Between Knowing and Assuming,,https://medium.com/@amsborse/inference-vs-belief-how-your-mind-makes-sense-of-the-world-2cc62e77903e,2025-01-25,12.18,149,78,37,0.523,0.474,0.248,0.5235,0.4744,0.2483,4.3694478524670215,3.6375861597263857,0.4086,1.0,0.4086
9,I don’t have time,,https://medium.com/@amsborse/i-dont-have-time-cd7a37668724,2025-01-12,10.05,185,124,51,0.67,0.411,0.276,0.6703,0.4113,0.2757,4.828313737302301,3.951243718581427,0.4043,1.0,0.4043
10,The Comfort of Ego: When Our Identities Become Our Safety Net,,https://medium.com/@amsborse/the-comfort-of-ego-when-our-identities-become-our-safety-net-6f7a57cf90a0,2025-07-21,4.91,109,21,13,0.193,0.619,0.119,0.1927,0.619,0.1193,3.0910424533583156,2.6390573296152584,0.3895,1.0,0.3895
11,Surrendering to the Universe: Why Trusting the Universe is the Ultimate Hack for Peace,,https://medium.com/@amsborse/surrendering-to-the-universe-why-trusting-the-universe-is-the-ultimate-hack-for-peace-b2da00097b69,2025-01-31,12.42,874,216,109,0.247,0.505,0.125,0.2471,0.5046,0.1247,5.37989735354046,4.700480365792416,0.3892,1.0,0.3892
12,The World Need More Creators Not Followers: The reason I’m writing,,https://medium.com/@amsborse/the-world-need-more-creators-the-reason-im-writing-3ef2cf9da5d4,2025-02-04,5.58,133,32,18,0.241,0.562,0.135,0.2406,0.5625,0.1353,3.4965075614664802,2.9444389791664403,0.379,1.0,0.379
13,🪷 How to Teach Your House to Love You Back,,https://medium.com/@amsborse/how-to-teach-your-house-to-love-you-back-a601a32a010f,2025-07-23,2.95,110,20,12,0.182,0.6,0.109,0.1818,0.6,0.1091,3.044522437723423,2.5649493574615367,0.3752,1.0,0.3752
14,🧠How to grow smarter when intelligence is everywhere,,https://medium.com/@amsborse/how-to-grow-smarter-when-intelligence-is-everywhere-6ccfcb29a6d7,2025-12-16,6.3,98,28,15,0.286,0.536,0.153,0.2857,0.5357,0.1531,3.3672958299864737,2.772588722239781,0.3715,1.0,0.3715
15,🏛️Stoicism — The Emperor’s Mirror: Meditation By Marcus Aurelius,,https://medium.com/@amsborse/%EF%B8%8Fstoicism-the-emperors-mirror-meditation-by-marcus-aurelius-c02f41a1b556,2025-08-01,6.66,108,26,14,0.241,0.538,0.13,0.2407,0.5385,0.1296,3.295836866004329,2.70805020110221,0.3608,1.0,0.3608
